City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
211,Sur,OM,2021-06-11 11:04:49,22.5667,59.5289,94.5,55,1,5.66
212,Waynesboro,US,2021-06-11 11:04:49,38.0685,-78.8895,70.43,93,90,3.44
213,Tsabong,BW,2021-06-11 11:04:50,-26.0217,22.401,73.51,29,0,18.57
214,Manakara,MG,2021-06-11 11:04:50,-22.1333,48.0167,73.63,71,35,7.16
215,Butaritari,KI,2021-06-11 11:04:50,3.0707,172.7902,82.18,76,56,10.38
216,Fuyu,CN,2021-06-11 11:04:51,45.1833,124.8167,77.63,35,23,7.56
217,Riyadh,SA,2021-06-11 11:00:45,24.6877,46.7219,105.42,7,0,23.02
218,Amazar,RU,2021-06-11 11:04:51,53.858,120.875,69.1,51,6,2.95
219,Vrede,ZA,2021-06-11 11:04:52,-27.4257,29.1659,61.59,27,0,6.58
220,Hailar,CN,2021-06-11 11:04:52,49.2,119.7,70.54,43,6,6.02
221,Hilo,US,2021-06-11 11:04:52,19.7297,-155.09,74.28,90,90,4.61
222,Mino,JP,2021-06-11 11:04:52,34.8269,135.4706,76.84,61,100,8.12
223,Hambantota,LK,2021-06-11 11:04:53,6.1241,81.1185,91.74,55,20,19.57
224,Arraial Do Cabo,BR,2021-06-11 11:04:53,-22.9661,-42.0278,73.26,88,40,12.66
225,Mwingi,KE,2021-06-11 11:04:53,-0.9344,38.0601,81.48,42,74,8.1
226,Waipawa,NZ,2021-06-11 11:04:54,-41.4122,175.5153,50.94,92,95,2.64
227,Iqaluit,CA,2021-06-11 11:04:54,63.7506,-68.5145,32.7,80,72,18.99
228,Port Alfred,ZA,2021-06-11 11:04:55,-33.5906,26.891,77.22,40,8,8.01
229,Margate,GB,2021-06-11 11:04:55,51.3813,1.3862,72.7,71,36,7.7
230,Chapais,CA,2021-06-11 11:04:55,49.7834,-74.8492,49.39,52,7,3.47
231,Taoudenni,ML,2021-06-11 11:04:56,22.6783,-3.9836,111.51,8,3,23.49
232,Seydi,TM,2021-06-11 11:04:56,39.4816,62.9137,101.1,13,2,15.41
233,Kaitong,CN,2021-06-11 11:04:56,44.8135,123.15,85.06,20,9,4.14
234,Haines Junction,CA,2021-06-11 11:04:57,60.7522,-137.5108,42.17,69,32,3.8
235,Labuan,MY,2021-06-11 11:04:57,5.2767,115.2417,82.56,76,82,13.51
236,Cotonou,BJ,2021-06-11 11:04:57,6.3654,2.4183,85.98,68,45,12.01
237,Karavukovo,RS,2021-06-11 11:04:58,45.495,19.1881,76.32,52,40,5.19
238,Comodoro Rivadavia,AR,2021-06-11 11:04:58,-45.8667,-67.5,55.26,58,0,17.27
239,Vega De Alatorre,MX,2021-06-11 11:04:58,20.0333,-96.6333,76.35,81,99,9.33
240,Upernavik,GL,2021-06-11 11:04:59,72.7868,-56.1549,34.68,89,2,9.13
241,Bada,RU,2021-06-11 11:04:59,51.392,109.8717,57.15,91,97,6.64
242,Luderitz,NA,2021-06-11 11:04:59,-26.6481,15.1594,73.0,38,0,5.57
243,New Norfolk,AU,2021-06-11 11:05:00,-42.7826,147.0587,55.58,83,100,4.0
244,Aklavik,CA,2021-06-11 11:05:00,68.2191,-135.0107,52.39,57,80,9.48
245,Kedrovyy,RU,2021-06-11 11:05:00,56.1667,91.8167,57.61,35,83,5.41
246,Vysokogornyy,RU,2021-06-11 11:05:00,50.1167,139.15,58.44,93,100,4.88
247,Verkhnevilyuysk,RU,2021-06-11 11:05:01,63.4453,120.3167,49.17,92,100,5.61
248,Santa Isabel,BR,2021-06-11 11:05:01,-23.3156,-46.2214,65.5,94,100,3.87
249,Cockburn Town,TC,2021-06-11 11:03:05,21.4612,-71.1419,79.93,76,50,14.09
250,Bushenyi,UG,2021-06-11 11:05:03,-0.5853,30.2114,79.09,39,88,7.36
251,Hanna,CA,2021-06-11 11:00:50,51.6334,-111.9018,44.87,85,71,8.99
252,Levelland,US,2021-06-11 11:05:04,33.5873,-102.378,76.05,51,69,9.69
253,Sao Raimundo Nonato,BR,2021-06-11 11:05:04,-9.0153,-42.6994,75.27,66,50,7.05
254,Doha,QA,2021-06-11 11:04:29,25.2867,51.5333,107.58,16,0,18.41
255,Suntar,RU,2021-06-11 11:05:05,62.1444,117.6319,54.95,60,100,5.7
256,Kodiak,US,2021-06-11 11:05:05,57.79,-152.4072,47.71,87,90,3.44
